('g1_A', 'blue') - ('g2_A', 'green'), 41.6520
('g2_A', 'green') - ('g1_A', 'blue'), 41.6520
('g1_A', 'blue') - ('g2_A', 'white'), 28.2475
('g2_A', 'white') - ('g1_A', 'blue'), 28.2475
('g1_A', 'blue') - ('g2_A', 'blue'), 42.3128
('g2_A', 'blue') - ('g1_A', 'blue'), 42.3128
('g1_A', 'blue') - ('g2_B', 'red'), 45.4502
('g2_B', 'red') - ('g1_A', 'blue'), 45.4502
('g1_A', 'blue') - ('g2_B', 'green'), 55.9374
('g2_B', 'green') - ('g1_A', 'blue'), 55.9374
('g1_A', 'blue') - ('g2_B', 'white'), 56.7310
('g2_B', 'white') - ('g1_A', 'blue'), 56.7310
('g1_A', 'blue') - ('g2_B', 'blue'), 65.9747
('g2_B', 'blue') - ('g1_A', 'blue'), 65.9747
('g1_A', 'blue') - ('g2_C', 'red'), 81.6679
('g2_C', 'red') - ('g1_A', 'blue'), 81.6679
('g1_A', 'blue') - ('g2_C', 'green'), 89.8007
('g2_C', 'green') - ('g1_A', 'blue'), 89.8007
('g1_A', 'blue') - ('g2_C', 'white'), 93.6517
('g2_C', 'white') - ('g1_A', 'blue'), 93.6517
('g1_A', 'blue') - ('g2_C', 'blue'), 101.8367
('g2_C', 'blue') - ('g1_A', 'blue'), 101.8367
('g1_A', 'blue') - ('g3_A', 'red'), 78.0583
('g3_A', 'red') - ('g1_A', 'blue'), 78.0583
('g1_A', 'blue') - ('g3_A', 'green'), 86.2808
('g3_A', 'green') - ('g1_A', 'blue'), 86.2808
('g1_A', 'blue') - ('g3_A', 'white'), 90.0716
('g3_A', 'white') - ('g1_A', 'blue'), 90.0716
('g1_A', 'blue') - ('g3_A', 'blue'), 98.2387
('g3_A', 'blue') - ('g1_A', 'blue'), 98.2387
('g1_A', 'blue') - ('g3_B', 'red'), 113.8550
('g3_B', 'red') - ('g1_A', 'blue'), 113.8550
('g1_A', 'blue') - ('g3_B', 'green'), 123.1252
('g3_B', 'green') - ('g1_A', 'blue'), 123.1252
('g1_A', 'blue') - ('g3_B', 'white'), 123.8749
('g3_B', 'white') - ('g1_A', 'blue'), 123.8749
('g1_A', 'blue') - ('g3_B', 'blue'), 134.3812
('g3_B', 'blue') - ('g1_A', 'blue'), 134.3812
('g1_A', 'blue') - ('g3_C', 'red'), 137.4977
('g3_C', 'red') - ('g1_A', 'blue'), 137.4977
('g1_A', 'blue') - ('g3_C', 'green'), 151.5579
('g3_C', 'green') - ('g1_A', 'blue'), 151.5579
('g1_A', 'blue') - ('g3_C', 'white'), 138.1936
('g3_C', 'white') - ('g1_A', 'blue'), 138.1936
('g1_A', 'blue') - ('g3_C', 'blue'), 152.5545
('g3_C', 'blue') - ('g1_A', 'blue'), 152.5545
('g1_A', 'blue') - ('g4_A', 'red'), 86.3483
('g4_A', 'red') - ('g1_A', 'blue'), 86.3483
('g1_A', 'blue') - ('g4_A', 'green'), 78.1633
('g4_A', 'green') - ('g1_A', 'blue'), 78.1633
('g1_A', 'blue') - ('g4_A', 'white'), 98.3321
('g4_A', 'white') - ('g1_A', 'blue'), 98.3321
('g1_A', 'blue') - ('g4_A', 'blue'), 90.1993
('g4_A', 'blue') - ('g1_A', 'blue'), 90.1993
('g1_A', 'blue') - ('g4_B', 'red'), 123.2690
('g4_B', 'red') - ('g1_A', 'blue'), 123.2690
('g1_A', 'blue') - ('g4_B', 'green'), 114.0253
('g4_B', 'green') - ('g1_A', 'blue'), 114.0253
('g1_A', 'blue') - ('g4_B', 'white'), 134.5498
('g4_B', 'white') - ('g1_A', 'blue'), 134.5498
('g1_A', 'blue') - ('g4_B', 'blue'), 124.0626
('g4_B', 'blue') - ('g1_A', 'blue'), 124.0626
('g1_A', 'blue') - ('g4_C', 'red'), 151.7525
('g4_C', 'red') - ('g1_A', 'blue'), 151.7525
('g1_A', 'blue') - ('g4_C', 'green'), 137.6872
('g4_C', 'green') - ('g1_A', 'blue'), 137.6872
('g1_A', 'blue') - ('g4_C', 'white'), 152.7011
('g4_C', 'white') - ('g1_A', 'blue'), 152.7011
('g1_A', 'blue') - ('g4_C', 'blue'), 138.3480
('g4_C', 'blue') - ('g1_A', 'blue'), 138.3480
('g1_A', 'blue') - ('g5_A', 'red'), 63.1576
('g5_A', 'red') - ('g1_A', 'blue'), 63.1576
('g1_A', 'blue') - ('g5_A', 'green'), 49.4894
('g5_A', 'green') - ('g1_A', 'blue'), 49.4894
('g1_A', 'blue') - ('g5_A', 'white'), 68.5771
('g5_A', 'white') - ('g1_A', 'blue'), 68.5771
('g1_A', 'blue') - ('g5_A', 'blue'), 55.7157
('g5_A', 'blue') - ('g1_A', 'blue'), 55.7157
('g1_A', 'blue') - ('g5_B', 'red'), 111.7621
('g5_B', 'red') - ('g1_A', 'blue'), 111.7621
('g1_A', 'blue') - ('g5_B', 'green'), 99.9450
('g5_B', 'green') - ('g1_A', 'blue'), 99.9450
('g1_A', 'blue') - ('g5_B', 'white'), 120.0515
('g5_B', 'white') - ('g1_A', 'blue'), 120.0515
('g1_A', 'blue') - ('g5_B', 'blue'), 107.6216
('g5_B', 'blue') - ('g1_A', 'blue'), 107.6216
('g1_B', 'red') - ('g1_B', 'green'), 14.4853
('g1_B', 'green') - ('g1_B', 'red'), 14.4853
('g1_B', 'red') - ('g1_B', 'white'), 14.4853
('g1_B', 'white') - ('g1_B', 'red'), 14.4853
('g1_B', 'red') - ('g1_B', 'blue'), 20.5407
('g1_B', 'blue') - ('g1_B', 'red'), 20.5407
('g1_B', 'red') - ('g2_A', 'red'), 99.7153
('g2_A', 'red') - ('g1_B', 'red'), 99.7153
('g1_B', 'red') - ('g2_A', 'green'), 110.3377
